"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199192778063","Ralfus","6","70","0.09","1","0.07","0.85","30","0","0","0","180","26","{""PUCK"":4,""FLERG"":5,""JЖCK"":4,""Large"":1,""Mongo"":4,""Trots"":3,""MUG..."":1,""Ξ Sanzu"":3,""Convenant"":5,""Ж | Mage"":2,""Ж | Rath"":1,""》Sherby"":3,""wolf pussy"":1,""нѕ | nes"":1,""Ж | Davako"":1,""Ж | PiscisK"":1,""Ж | Whiskey"":1,""Ж | OG Panda"":1,""Ж | Tadiktor"":3,""TouchMyGangsta"":3,""DooperDupinskie"":6,""Ж︎ | Poptart"":3,""Ж | wildcard.NS"":1,""Ж | Eragon123※"":3,""Ж | Crystal Claude"":3,""Ж | yourmomsmother"":2,""Ж︎ | No Chill Anna"":3,""Ж︎ | -TL- Monster_Corndog"":1}","{""Ξ Sanzu"":1,""Ж | Rath"":1,""нs | Widow"":1,""DooperDupinskie"":1,""Ж | Crystal Claude"":1,""Ж︎ | No Chill Anna"":1}","75","465","620","340","{""KARABINER 98K"":6}","{""BAZOOKA"":1,""M1 GARAND"":43,""M3 GREASE GUN"":3,""BROWNING M1919"":8,""Sherman M4A3E2(76)"":1,""155MM HOWITZER [M114]"":2,""37MM CANNON [Stuart M5A1]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":7,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3}"
"76561199142057984","вит | Ventil8","15","40","0.38","4","0.18","0.48","17","0","0","0","604","19","{""PUCK"":1,""JЖCK"":1,""Large"":1,""Mongo"":1,""Trots"":1,""zesty"":3,""MUG..."":4,""Ξ Sanzu"":3,""Ж | Wix"":1,""Convenant"":1,""Ж | Rath"":3,""✿ Seely"":1,""Ж | HeiZa"":1,""нs | Widow"":5,""PapaBearBaker"":2,""Ж | Tadiktor"":1,""Ж | wildcard.NS"":1,""Ж | Eragon123※"":2,""Ж | yourmomsmother"":2,""My Ego > Bad Intentions"":2,""Ж︎ | -TL- Monster_Corndog"":3}","{""zesty"":5,""MUG..."":1,""Ξ Sanzu"":1,""Convenant"":1,""》Sherby"":1,""нs | Widow"":1,""PapaBearBaker"":1,""• The China Guy"":1,""My Ego > Bad Intentions"":2,""Ж︎ | -TL- Monster_Corndog"":1}","178","896","760","540","{""GEWEHR 43"":15}","{""M1 GARAND"":27,""BROWNING M1919"":5,""M6 37mm [M8 Greyhound]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":3,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561199372726194","Ж︎ | -TL- Monster_Corndog","54","34","1.59","19","0.65","0.41","6","0","0","0","507","26","{""DJ"":4,""kapk"":1,""Жan"":1,""Swift"":1,""Rob491"":3,""Will b"":3,""=Nerdy="":1,""=Oresto="":3,""DeathVice"":2,""SeatingChart"":2,""Vomit Coffin"":2,""BasicallyZack"":3,""=LordFarquaad="":1,""=Just Win Baby="":1,""ﾒ Bobothemonk"":1,""вит | Ventil8"":1,""Ξ FreeTheChickens"":1,""в●ти | =exel="":1,""Ξ вит | 季赛冠军"":1,""=Girth Brooks=(THICC)(CLWN)"":1}","{""Жan"":4,""Ralfus"":1,""Rob491"":2,""Will b"":3,""=Nerdy="":2,""=R3C0N="":1,""=Vidar="":4,""=Oresto="":4,""D' Bearz"":1,""ULFBERHT"":1,""DeathVice"":1,""More Ghana"":2,""=LordBarst="":1,""Capt.Taylor"":3,""Crazy_boots"":1,""WhiskyPilot"":1,""SeatingChart"":1,""=LordFarquaad="":4,""I_NoScoped_JFK"":2,""вит | Ventil8"":3,""ВOTИ | Archytek"":1,""Ξ FreeTheChickens"":1,""Ж | =Alotta Bush="":4,""в●ти | =exel="":1,""=Krombopulous_MYKL="":2,""MS | Smurf 我很爛"":1,""вит | Phat_Cheeks57"":1,""=Girth Brooks=(THICC)(CLWN)"":1}","578","2700","1180","20","{""BROWNING M1919"":54}","{""MG42"":2,""STG44"":3,""SATCHEL"":1,""GEWEHR 43"":16,""KARABINER 98K"":4,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":4,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3}"
"76561197960409371","Ж | GasMask","8","6","1.33","2","0.1","0.07","3","0","0","0","3056","52","{""kapk"":1,""Жan"":2,""Rob491"":1,""SeatingChart"":1,""=Gatrick Swayze="":1}","{""Жan"":2,""Swift"":1,""DeathVice"":1,""airaparent"":1,""Crazy_boots"":2,""MS | Smurf 我很爛"":1}","112","372","1480","0","{""M1 GARAND"":8}","{""S-MINE"":1,""GEWEHR 43"":4,""75MM CANNON [PAK 40]"":1}"
"76561199388379600","PUCK","62","79","0.78","7","0.75","0.95","7","0","0","0","253","18","{""DJ"":9,""B3n"":3,""kapk"":2,""Жan"":1,""Swift"":2,""Will b"":1,""=Caono="":1,""R E A P"":3,""=Oresto="":2,""D' Bearz"":4,""DeathVice"":4,""MrKravs33"":4,""=Wurlstar="":1,""More Ghana"":1,""airaparent"":6,""Capt.Taylor"":2,""Crazy_boots"":6,""WhiskyPilot"":2,""SeatingChart"":3,""Vomit Coffin"":2,""=LordFarquaad="":2,""I_NoScoped_JFK"":2,""=Just Win Baby="":1,""ﾒ Bobothemonk"":3,""=Gatrick Swayze="":2,""ВOTИ | Archytek"":1,""Ξ FreeTheChickens"":1,""Ж | =Alotta Bush="":1,""=Krombopulous_MYKL="":1,""вит | Phat_Cheeks57"":1,""=Girth Brooks=(THICC)(CLWN)"":5}","{""B3n"":1,""Жan"":1,""Swift"":2,""Ralfus"":4,""=Nerdy="":2,""R E A P"":3,""=Oresto="":3,""D' Bearz"":5,""=Krusader="":2,""=Wurlstar="":3,""More Ghana"":1,""airaparent"":5,""=LordBarst="":1,""Capt.Taylor"":2,""Crazy_boots"":4,""SeatingChart"":1,""Vomit Coffin"":3,""=LordFarquaad="":3,""I_NoScoped_JFK"":4,""=Just Win Baby="":2,""ﾒ Bobothemonk"":1,""=Gatrick Swayze="":1,""вит | Ventil8"":1,""Ж | =Alotta Bush="":1,""в●ти | =exel="":1,""=Krombopulous_MYKL="":1,""вит | Phat_Cheeks57"":1,""=Girth Brooks=(THICC)(CLWN)"":3}","562","370","660","340","{""BAZOOKA"":3,""M1 GARAND"":58,""M1918A2 BAR"":1}","{""MG42"":9,""MP40"":1,""STG44"":5,""FG42 x4"":1,""GEWEHR 43"":41,""KARABINER 98K"":7,""PANZERSCHRECK"":3,""75MM CANNON [PAK 40]"":2,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":9}"
"76561198066940399","SeatingChart","32","55","0.58","9","0.38","0.65","12","0","0","0","418","13","{""PUCK"":1,""FLERG"":2,""JЖCK"":1,""Large"":2,""Mongo"":3,""MUG..."":3,""Ξ Sanzu"":4,""Ж | Wix"":1,""Convenant"":3,""Ж | Mage"":5,""Ж | Rath"":6,""》Sherby"":2,""wolf pussy"":2,""Ж | Davako"":1,""нs | Widow"":2,""Ж | PiscisK"":2,""Ж | Whiskey"":1,""PapaBearBaker"":1,""TouchMyGangsta"":1,""Ж | Badger™"":1,""DooperDupinskie"":3,""Ж︎ | Poptart"":3,""Ж | Eragon123※"":2,""Ж | Crystal Claude"":1,""Ж︎ | No Chill Anna"":1,""Ж︎ | -TL- Monster_Corndog"":1}","{""."":1,""PUCK"":3,""FLERG"":3,""Mongo"":1,""MUG..."":1,""Ξ Sanzu"":1,""Convenant"":1,""Everblack"":1,""》Sherby"":1,""нѕ | nes"":1,""Stellar-INF"":1,""Ж | Davako"":1,""нs | Widow"":3,""Ж | GasMask"":1,""Ж | Whiskey"":1,""PapaBearBaker"":1,""Ж | DankNugz"":1,""Ж︎ | bones"":1,""Ж︎ | Poptart"":2,""Ж | Eragon123※"":2,""Ж︎ | No Chill Anna"":1,""My Ego > Bad Intentions"":1,""Ж︎ | -TL- Monster_Corndog"":2}","304","310","340","580","{""GEWEHR 43"":32}","{""BAZOOKA"":1,""M1 GARAND"":35,""COLT M1911"":1,""M1918A2 BAR"":1,""MK2 GRENADE"":3,""BROWNING M1919"":6,""155MM HOWITZER [M114]"":5,""37MM CANNON [Stuart M5A1]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198136736730","=Nerdy=","9","36","0.25","3","0.11","0.43","12","0","0","0","527","28","{""."":1,""PUCK"":2,""FLERG"":1,""JЖCK"":2,""Mongo"":1,""zesty"":1,""MUG..."":2,""Ξ Sanzu"":7,""Ж | Mage"":1,""Ж | Rath"":3,""Stellar-INF"":1,""Ж | Davako"":1,""нs | Widow"":5,""Ж | PiscisK"":1,""Ж | Badger™"":1,""Ж︎ | Poptart"":1,""Ж | wildcard.NS"":1,""Ж | Eragon123※"":1,""My Ego > Bad Intentions"":1,""Ж︎ | -TL- Monster_Corndog"":2}","{""Large"":1,""MUG..."":1,""Ξ Sanzu"":1,""Convenant"":1,""Ж | Davako"":1,""нs | Widow"":1,""My Ego > Bad Intentions"":2,""Ж︎ | -TL- Monster_Corndog"":1}","111","1106","980","320","{""GEWEHR 43"":9}","{""UNKNOWN"":1,""M1 GARAND"":26,""COLT M1911"":1,""M1 CARBINE"":1,""M1A1 THOMPSON"":1,""BROWNING M1919"":3,""155MM HOWITZER [M114]"":1,""COAXIAL M1919 [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561199380101095","Capt.Taylor","23","28","0.82","5","0.28","0.34","6","0","0","0","566","35","{""PUCK"":2,""MUG..."":1,""Ξ Sanzu"":2,""Convenant"":2,""Ж | Rath"":2,""✿ Seely"":2,""wolf pussy"":1,""Ж | Davako"":2,""Ж | Whiskey"":1,""Ж | OG Panda"":2,""TouchMyGangsta"":1,""DooperDupinskie"":1,""Ж︎ | Poptart"":1,""Ж | Eragon123※"":2,""Ж | Crystal Claude"":1,""Ж︎ | No Chill Anna"":1,""My Ego > Bad Intentions"":1,""Ж︎ | -TL- Monster_Corndog"":3}","{""."":1,""PUCK"":2,""FLERG"":1,""Mongo"":1,""zesty"":1,""Ξ Sanzu"":1,""Convenant"":1,""Ж | Rath"":1,""wolf pussy"":1,""Stellar-INF"":1,""Ж | Davako"":2,""нs | Widow"":2,""Ж | Whiskey"":1,""Ж | DankNugz"":2,""Ж | OG Panda"":1,""DooperDupinskie"":1,""Ж︎ | No Chill Anna"":1,""My Ego > Bad Intentions"":2}","225","563","1180","220","{""GEWEHR 43"":23}","{""M1 GARAND"":20,""BROWNING M1919"":7,""M97 TRENCH GUN"":1}"
"76561198115926076","Ξ вит | Comrade Grimm","2","20","0.1","1","0.02","0.24","11","0","1","1","757","27","{""JЖCK"":8,""zesty"":3,""Convenant"":1,""Ж | Mage"":1,""Ж | Whiskey"":1,""Ж | OG Panda"":1,""Ж | Tadiktor"":1,""Ж︎ | bones"":1,""Ж | Eragon123※"":1,""• The China Guy"":1,""My Ego > Bad Intentions"":1}","{""zesty"":1,""Ж | Eragon123※"":1}","224","630","980","280","{""COAXIAL MG34 [Sd.Kfz.234 Puma]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1}","{""BAZOOKA"":1,""M1 GARAND"":5,""M1 CARBINE"":1,""M3 GREASE GUN"":2,""BROWNING M1919"":1,""155MM HOWITZER [M114]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":9}"
"76561198043221756","D' Bearz","26","57","0.46","5","0.32","0.69","8","0","2","2","337","13","{""PUCK"":5,""JЖCK"":1,""Large"":3,""Mongo"":1,""MUG..."":1,""Ξ Sanzu"":6,""Ж | 3fm"":1,""Convenant"":4,""Ж | Mage"":12,""Ж | Rath"":4,""wolf pussy"":1,""нѕ | nes"":2,""Stellar-INF"":1,""нs | Widow"":1,""Ж | DankNugz"":1,""Ж | OG Panda"":1,""Ж︎ | bones"":1,""TouchMyGangsta"":2,""DooperDupinskie"":1,""Ж︎ | Poptart"":3,""Ж | Eragon123※"":2,""Ж | Crystal Claude"":1,""Ж︎ | No Chill Anna"":1,""Ж︎ | -TL- Monster_Corndog"":1}","{""PUCK"":4,""Large"":2,""MUG..."":2,""Ξ Sanzu"":1,""Convenant"":1,""Ж | Rath"":3,""✿ Seely"":3,""Ж | Davako"":1,""нs | Widow"":1,""Ж | DankNugz"":1,""Ж | OG Panda"":1,""Ж︎ | bones"":2,""Ж | Crystal Claude"":1,""Ж︎ | No Chill Anna"":3}","242","1325","480","580","{""GEWEHR 43"":25,""M43 STIELHANDGRANATE"":1}","{""M3 KNIFE"":1,""M1 GARAND"":33,""M1 CARBINE"":1,""MK2 GRENADE"":2,""M1A1 THOMPSON"":1,""BROWNING M1919"":6,""155MM HOWITZER [M114]"":12,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
